time	from	to
4193	72	104
4193	72	88
4193	72	88
4195	64	0
4195	72	76
4195	68	4
4196	104	40
4197	64	96
4197	64	80
4198	72	104
4198	72	88
4198	64	0
4198	64	68
4198	72	76
4198	64	0
4199	76	12
4199	64	68
4200	72	104
4200	72	8
4200	64	0
4201	64	68
4201	72	8
4201	64	96
4201	72	88
4201	72	8
4201	64	0
4202	64	80
4202	72	76
4202	92	28
4203	64	68
4203	64	80
4203	64	0
4204	64	0
4204	72	64
4204	64	68
4204	64	0
4205	72	8
4205	80	16
4205	76	92
4205	64	80
4205	0	32
4206	96	32
4207	64	0
4207	64	68
4207	64	0
4208	64	68
4208	64	80
4209	0	32
4209	72	8
4210	72	76
4210	72	64
4210	12	44
4211	64	0
4211	64	0
4211	72	76
4211	72	76
4212	72	8
4212	72	8
4212	68	4
4213	72	64
4214	64	96
4214	64	68
4214	76	12
4215	72	8
4215	68	4
4215	64	0
4216	64	0
4216	72	76
4217	64	0
4217	72	104
4218	0	16
4218	64	0
4219	64	0
4220	64	68
4220	64	80
4220	64	68
4221	72	88
4222	72	76
4223	72	8
4223	0	16
4224	64	68
4224	72	8
4225	72	8
4225	76	108
4225	68	4
4225	72	88
4226	80	16
4226	72	8
4226	64	68
4226	96	32
4226	72	104
4227	72	76
4227	64	0
4227	64	0
4228	64	0
4229	72	8
4229	64	96
4230	64	96
4230	72	76
4230	64	80
4230	0	32
4231	64	96
4231	72	104
4231	96	32
4231	64	0
4231	72	8
4232	64	68
4232	72	76
4232	72	8
4232	96	100
4233	76	108
4234	72	76
4234	72	76
4234	64	80
4234	72	104
4235	72	88
4235	72	8
4238	64	80
4239	72	104
4239	72	64
4240	64	0
4240	64	0
4241	64	68
4241	64	68
4241	72	76
4241	72	64
4242	64	68
4242	72	64
4242	72	76
4242	72	64
4243	64	68
4243	72	76
4243	72	8
4244	64	0
4244	64	68
4245	72	76
4246	64	0
4246	76	12
4246	64	0
4247	72	8
4248	72	88
4248	64	68
4248	68	4
4248	64	96
4248	64	0
4248	72	76
4248	72	76
4248	64	96
4248	68	4
4249	72	8
4250	72	76
4250	96	32
4251	72	76
4251	64	96
4252	72	8
4252	64	80
4253	72	88
4253	64	68
4253	64	0
4253	64	0
4254	72	104
4254	64	68
4254	72	76
4254	72	88
4255	72	76
4255	104	108
4255	64	0
4256	72	76
4257	72	104
4257	72	8
4258	64	0
4258	72	76
4258	96	32
4258	64	0
4258	64	0
4258	64	0
4258	64	0
4258	72	8
4258	64	96
4259	64	0
4260	72	8
4260	64	0
4260	72	76
4260	96	32
4261	72	76
4261	76	92
4261	64	68
4261	64	0
4262	64	68
4262	64	96
4262	0	4
4262	68	4
4263	76	12
4264	64	0
4265	72	104
